No.,ソース,通貨ペア,エントリー時刻,エグジット時刻,方向,エントリー価格,エグジット価格,Pips差,エントリーBID,エントリーASK,エグジットBID,エグジットASK,エントリースプレッド,エグジットスプレッド,取得時刻,スコア
61,entrypoints⑦,USDJPY,17:32:00,17:38:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:41.771636,6.85
62,利益効率（Hatch検証）日中版⑧,CHFJPY,17:32:00,17:46:00,Short,174.921,175.26,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:58:56.058083,
63,利益効率（Hatch検証）⑥,CHFJPY,17:32:00,17:46:00,Short,174.921,175.26,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:59:07.405381,
64,最大利益 日中版⑧,CHFJPY,17:32:00,17:46:00,Short,174.921,175.26,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:22.353249,
65,最大利益 終日版⑦,CHFJPY,17:32:00,17:46:00,Short,174.921,175.26,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:35.481000,
66,entrypoints⑧,CHFJPY,17:47:00,17:58:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:58:43.207108,6.39
67,利益効率（Hatch検証）日中版⑨,CHFJPY,17:52:00,17:58:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:58:57.486033,
68,利益効率（Hatch検証）⑦,CHFJPY,17:52:00,17:58:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T11:59:08.811308,
69,最大利益 日中版⑨,CHFJPY,17:52:00,17:58:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:23.856518,
70,最大利益 終日版⑧,CHFJPY,17:52:00,17:58:00,Long,175.26,174.921,-33.9,174.921,175.26,174.921,175.26,0,0,2025-05-31T12:00:37.029265,
71,時間効率重視 日中版⑨,EURJPY,17:55:00,17:58:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T11:59:55.104974,
72,時間効率重視 終日版⑦,EURJPY,17:55:00,17:58:00,Long,163.59,163.338,-25.2,163.338,163.59,163.338,163.59,0,0,2025-05-31T12:00:06.553462,
73,entrypoints⑨,USDJPY,18:51:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:44.675178,7.81
74,勝率重視（ぶりんださん検証） 日中版⑩,USDJPY,18:51:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:27.298320,
75,勝率重視（ぶりんださん検証）⑦,USDJPY,18:51:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:37.792134,
76,最大利益 日中版⑩,USDJPY,18:51:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:25.300814,
77,最大利益 終日版⑨,USDJPY,18:51:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:38.490890,
78,時間効率重視 日中版⑩,USDJPY,18:53:00,18:56:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:56.529339,
79,時間効率重視 終日版⑧,USDJPY,18:53:00,18:56:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:08.016828,
80,利益効率（Hatch検証）日中版⑩,USDJPY,18:54:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:58:58.913179,
81,利益効率（Hatch検証）⑧,USDJPY,18:54:00,18:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:10.238627,
82,時間効率重視 終日版⑨,USDJPY,19:02:00,19:06:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:09.493982,
83,勝率重視（ぶりんださん検証）⑧,USDJPY,20:08:00,20:19:00,Short,143.968,144.132,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:39.213422,
84,利益効率（Hatch検証）⑨,EURUSD,21:08:00,21:11:00,Short,1.13448,1.13497,-4.9,1.13448,1.13497,1.13448,1.13497,0,0,2025-05-31T11:59:11.653320,
85,勝率重視（ぶりんださん検証）⑨,EURUSD,21:08:00,21:11:00,Short,1.13448,1.13497,-4.9,1.13448,1.13497,1.13448,1.13497,0,0,2025-05-31T11:59:40.622056,
86,利益効率（Hatch検証）⑩,USDJPY,21:42:00,21:57:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:13.062322,
87,時間効率重視 終日版⑩,USDJPY,21:43:00,21:56:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:10.904479,
88,最大利益 終日版⑩,USDJPY,21:43:00,21:58:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T12:00:39.993002,
89,勝率重視（ぶりんださん検証）⑩,USDJPY,21:46:00,21:59:00,Long,144.132,143.968,-16.4,143.968,144.132,143.968,144.132,0,0,2025-05-31T11:59:42.069793,
